,Title,Price,Bedrooms,SqFt,Location
306,Two Bedroom 1 Bathroom Suite with Entire Floor Suite and Balcony,2995,2,1000,"W Broadway, Kitselano"
307,"Chic 2 Bedroom, 2 Bathroom Suite with Den, Walk-In Closet and Balcony",3795,2,900,"Homer Street, Yaletown"
308,Charming 2 Bedroom plus 1.5 Bathroom with Fireplace,2195,2,1000,Burnaby
309,Attractive 1 Bedroom House Suite with Private Entrance and Patio,1895,1,710,Oak Street
310,Lovely 1 Bedroom and Den Corner Suite with Large Balcony,2595,1,630,"Homer Street, Yaletown"
311,Beautiful 3 Bedroom 1.5 Bathroom Heritage House with 2 Balconies,6495,3,1500,"W Broadway, Kitselano"
312,2 Bedroom 1 Bathroom Suite with Easy Seawall Access and Hardwood Floor,2495,2,725,Barclay Street
313,"Spacious 1 Bedroom Plus a 2nd Bedroom-Den, 2 Bath Suite with Mountain",2795,1,900,South Granville
314,Elegant 2 Bedroom Detached House with Original Heritage Character,3450,2,1349,Prior Street
315,Ample 3 Bedroom 2 Bathroom House with Gorgeous Views and 2 Fireplaces,4995,3,1700,W 10th Avenue
316,Vancouver prime location 2br 2ba classic functional condo for Rent,2600,2,852,Vancouver
317,High End 3 Bedroom Furnished House with Chefs Kitchen,7495,3,2200,Riley Park
318,"2 Bed, 1 Bath Upper Level Suite w/Opulent Styling and Upscale Features",4195,2,800,Commercial Drive
319,Elegant 1 Bedroom plus Den with Balcony and Hardwood Flooring,2350,1,546,Prior Street
320,"Fabulous Two Bedroom, Two Bathroom Corner Suite With Lavish Styling",4995,2,1000,"W 2nd Avenue, Olympic Village"
321,Brand New 2 Bedroom 2 Bath Laneway Home,1900,2,1000,NA
322,Bachelor Suit (Brand New Home),700,1,NA,NA
323,Fully furnished 2 bdrm near BC Children's Hospital,2200,2,700,Laurel Street
324,Boundary Apartment for RENT near Metrotown/Crystal Mall!,1900,2,650,Willingdon Avenue
325,2 Bdrm 2 Bath + Den Furnished Executive Suite,3250,2,1000,"W 2nd Avenue, Olympic Village"
326,Beautiful 1 bedroom near Sunset Beach,1750,1,550,Barclay Street
327,Vancouver West Central Location spacious and functional Studio,2000,NA,476,West Vancouver
328,Top floor 1 bedroom in West End,2200,1,550,Barclay Street
329,2 BED &DEN RENO 2ND FLOOR HOUSE/FRASER & EAST 12TH AVE/PET/ DEC 1,2400,2,NA,East Vancouver
330,Vancouver Coal Harbour spacious 2br 2ba condo with spectacular views,4000,2,1272,"Cordova Street, Coal Harbour"
331,Furnished one bedroom *in suite laundry,2195,1,500,NA
332,1 Bedroom + 1 Flex Room Laneway House (Kensington Neighbourhood),1500,1,NA,NA
333,1 bedroom apartment downtown Vancouver fully furnished,2350,1,NA,Nelson Street
334,2 Bedrooms (New  House) Basement for Rent Anytime,1600,2,NA,Mannering Avenue
335,#1005 - 1068  Hornby St. - Available NOW,2150,1,560,Harnby Street
336,2 Bedroom Laneway House for Rent November 2018 ( New House)for Rent,2200,2,NA,Nanaimo Street
337,LIVE IN THE CENTRE OF IT ALL!,2200,1,573,Burrard Street
338,Great Ocean View Lux House for Rent in Point Grey,6000,4,2752,W 11th Avenue
339,$1550-1Bdr & Study 6th floor Unit with Parking,1550,1,573,W Broadway
340,UBC full furnished 3bedroom SW facing unit for rent,3700,NA,1030,Wesbrook Mall
341,1 bedroom heritage type building,1625,1,600,W 15th Avenue
342,"Bright, spacious 2BR+patio in Shaughnessy-Kerrisdale",2650,2,802,Arbutus Street
343,2BR/ 2 bath+patio in Shaughnessy-Kerrisdale,2650,2,802,Arbutus Street
344,Main&upper floor for rent-Great Location in Point Grey Area,4500,4,2130,W 15th Avenue
345,8th  floor furnished bachelor avail Now,1500,NA,400,NA
346,Gorgeous Executive 1 Bdrm Suite  Fully Furnished - Now Available!,2050,1,NA,Edgemont Village
347,Bright 2BR/ 2 bath+balcony in Shaughnessy-Kerrisdale,2600,2,802,Arbutus Street
348,2 blocks from Kits beach!,1650,1,NA,"W Broadway, Kitselano"
349,"Brand new 3 Bdr, 1-1/2 baths Basement Suite For Rent",1900,3,NA,NA
350,*** STUNNING 1 BEDROOM + DEN CONDO FOR RENT AT THE MAX ***,2100,1,NA,"Homer Street, Yaletown"
351,Whole House for Rent in Vancouver West- Prince Wales School&UBC,3850,4,2250,Mcmullen Avenue
352,PENTHOUSE - 1 bedroom - 180 degree view - Kerrisdale,1985,1,750,Larch Street
353,Sunny Kerrisdale 1 bedroom Apartment,1680,1,600,Larch Street
354,One Bedroom Luxury Furnished,2350,1,500,Seymour Street
355,1 Bedroom with Stuning view in heart of downtown,2499,1,NA,NA
356,822 Seymour The L'aria  - Everything Included -,2199,1,575,Seymour Street
357,Kitsilano Neibourhood - Above IGA,2900,2,970,W Braodway
358,Fully Renovated Condo 1 Bed & Bath w Washer/Dryer in Great Location!!!,1875,1,616,E Broadway
359,"3 bed 3 bath, Fully Furnished, Super view in Sunset Beach",5000,3,NA,Barclay Street
360,"Super View , 2 Bed, fully furnished, Gym, Pool, Parking",2750,2,NA,NA
361,2 bedroom main level,1950,2,NA,Vanness Avenue
362,"Amazing  2 bedrooms, 2 bathrooms in heart of downtown",3200,2,NA,"Cordova Street, Coal Harbour"
363,"1 Bedroom, 1 Bathroom unit in heart of downtown",2600,1,630,Walker Paradise
364,Coal  Harbour 2 bdrm 2 bath furnished Apt close to SkyTrain,3400,2,870,NA
365,"Amazing 2 bedrooms, 2 bathrooms in heart of downtown",3200,NA,NA,"Cordova Street, Coal Harbour"
366,SHORT-TERM LEASE of a 3BR HOUSE w/ Garden and Garage,2750,3,1114,E 7th Avenue
367,Brand New *Fully* Furnished Small 1 Bedroom Unit in Olympic Village!,2350,1,460,"W 2nd Avenue, Olympic Village"
368,Wall Center Condo for Rent,1800,1,500,Ormidale Street Vancouver
369,**Fraserview** 5 BED 3 BATH House - Perfect for a family,4200,5,3524,Gladstone Street
370,RENOVATED 2BR WITH 2 BATHROOMS,2900,2,1000,21st Street
371,Large fully renovated 1BR; Gym & 24h laundry,1825,1,730,West Vancouver
372,2 BR 2 BA + Den unit @ The Gallery in Yaletown,2600,2,739,Richards Street
373,3BR PENTHOUSE on W. Boulevard & W38 Ave across Point Grey,2880,3,1105,Larch Street
374,BRAND NEW LARGE 890sqft. 2BR 2BA + DEN @ Kensington Gardens,2580,2,1,Kingsway
375,Great Kitsilano Location -- Ultra Bright 2 Bdrm,2500,2,710,Trafalgar Street
376,"1 bedroom "" JUST RENOVATED """,2099,1,535,Howe Street
377,*Downtown*  1 Bed + Den FURNISHED / UNFURNISHED @ Spectrum 3,1850,1,502,"Homer Street, Yaletown"
378,"1403 Beach Avenue, Vancouver, BC  Supe",5000,3,NA,Barclay Street
379,Small basement suite,850,1,500,NA
380,"Bright, spacious 2BR(2 baths)+den now",2600,2,963,Arbutus Stree
381,Residences at West - Olympic Village Neighbourhood,3200,2,1000,Manitoba Street
382,***ONE BEDROOM BASEMENT SUITE FOR RENT***,1300,1,1050,East Vancouver
383,BEAUTIFUL Heritage House in the Vibrant Mount Pleasant,3500,4,3200,Ontario Street
384,Richmond Metro Vancouver Furnished Condo Rental at Concord Gardens - B,1900,1,568,Richards Street
385,Bright Spacious Modern 1 Br + Den in Yaletown Downtown,2150,1,NA,"Homer Street, Yaletown"
386,"Beautiful, Brand New 2 bedroom semi Furnished - Rental from Nov 2018",1675,2,600,Vancouver
387,Excellent Location! 1 BED in Renfrew-Collingwood Neibourhood,1400,1,535,Nanaimo Street
388,RENOVATED UPPER LEVEL OF HOUSE AVAIL DEC 1st UTILITIES INCL!!,2995,3,1350,Prince Edward Street
389,4br&3bathroom House near UBC,3900,4,NA,NA
390,Bright centrally located  large 2 Bdrm available immediately,1650,2,1100,East Vancouver
391,PET FRIENDLY 1 BED IN THE HEART OF THE WEST END. FULLY RENOVATED,1825,1,550,NA
392,Stunning 1 Bed & Den in the heart of Yaletown,2200,1,NA,"Homer Street, Yaletown"
393,Well-Maintained Spacious House Off Victoria Dr. Shopping Area,2900,4,2700,Gladstone Street
394,Spacious Yaletown 2 BR view condo,3080,2,1100,"Homer Street, Yaletown"
395,Updated studio & den,1800,NA,480,Barclay Street
396,BEAUTIFUL & BRIGHT 1 Bed + Den Condo in the heart of Yaletown DT,2200,NA,NA,"Homer Street, Yaletown"
397,Charming and Spacious 2 Bedroom Suite by Kitsilano Beach Park,2300,2,1000,Maple Street
398,"Can be rented now 2BR , includes heat hot water West End",2620,2,NA,Barclay Street
399,RENTED,1950,2,NA,East  Vancouver
400,LOCATION! MC 2 Marine Drive Station 1 BR,1700,1,460,Cambie Street
401,Top Floor - BEAUTIFUL Heritage House in the Vibrant Mount Pleasant,3100,2,1800,Ontario Street
402,Oakridge langara 3 bedrooms house,3300,3,1200,W 44th Avenue
403,2 BEDROOM UNFURNISHED CONDO IN DOWNTOWN VANCOUVER,2795,2,NA,"Homer Street, Yaletown"
404,Furnished Trump Tower,3800,1,6400,West Georgia Street
405,large 3 Bedroom Suite For Rent,1800,3,1100,NA
406,Studio- Professionally designed w free internet,1510,NA,426,Barclay Street
407,The Marriot Hotel in Coal Harbour/Downtown Vancouver 2Br/2Bath,3700,2,990,West Pender Street
408,near vancouver General hospital,1495,NA,NA,W 12th Avenue
409,furnished 2 bed apartment for rent fronting Victoria Park,1200,2,NA,"E Keith Road, North Vancouver"
410,"2bed + Den <U+260E><U+260E><U+260E> High Ceiling, Central, Bright & renovate",2200,2,NA,Fraser Street
411,Ground Level 2 Bdrm plus Den/Office - Hydro and Gas Included,1950,2,NA,East Vancouver
412,Updated 3 bdrm & den unit in Mackenzie Height,1800,3,1200,Mackenzie Street
413,Furnished Amazing Contemporary Home in Kerrisdale,5300,6,3800,Larch Street
414,Charming Home situated in the heart of desirable Mackenzie Heights,3900,5,3239,Mackenzie Street
415,One Bedroom Basement Suite in Shaughnessy Area,1400,1,NA,West Vancouver
416,939-Homer Street - studio - 480sq ft,1300,NA,480,Homer Street
417,Main and E 42nd Ave - 4 BR 2BA House near Oakridge Centre and transit,2850,4,1600,Main Street
418,2bdrm + Den Fully Furnished Condo for Rent,2800,2,659,Beatty Street
419,Convenient Location Oak & 49 Ave Vancouver West Home 4BR/2BA,2800,3,2000,Oak Street
420,** Corner unit 3BR & 2.5 Baths Townhouse: THE CARRINGTON - 9 YRS NEW,3000,3,1200,Oak Street
421,1 Bedroom Basement Suite $900,NA,NA,NA,Abbotsford
422,"Stunning 1 Bedroom, 1 Bath, Condo in Yaletown",1850,1,580,Seymour Street
423,Furnished Rooms for Rent in Gastown,650,NA,NA,"Powell Street, Gastown"
424,KITS BEACH -- FURNISHED -- 1BR/1 BATH VIEW APARTMENT,2195,1,750,"W Broadway, Kitselano"
425,Available November 15: Furnished 1-Bed Condo Downtown Vancouver,2650,1,600,NA
426,Downtown 2 bedrooms apartment for rent,3200,NA,900,Hornby Street
427,"Vancouver, Coal Harbour penthouse for rent",4900,2,1100,Pender Street
428,fully furnished condo in the west end,2100,1,550,Davie Street
429,Large 1BDR,1455,1,700,West Vancouver
430,"<U+260E><U+260E><U+260E> Spacious, Bright, 1 bd rm (share kitchen) Incl Utilities (",800,1,NA,Granville Street
431,2 bedroom basement suite for rent,1500,2,NA,E 57th Avenue
432,New apartment 2 bedroom 1 bathroom 1 den and  balcony in Vancouve,2200,2,866,Rupert Street
433,STUDIO/1 BDRM DOWNTOWN APARTMENT,1795,NA,500,NA
434,commercial drive 1 B.R loft,1200,1,1150,E 1st Avenue
435,DOWNTOWN STUDIO APARTMENT - AQUILINI,1795,NA,NA,Abbott Street
436,$3000 - 3 Bed/2 Bath house,3000,3,2700,W 59th Avenue
437,New apartment 2 bedroom 1 den 1 bathroom in Vancouver,2200,2,900,Rupert Street
438,1 BEDROOM BASEMENT $1100 RENT,1100,1,NA,Fraser Street
439,House for rent $550/room or $3200/full house,1,6,NA,NA
440,"Suite for rent, ground level, bright",2300,2,1100,Dunbar Street
441,New apartment 2 bedroom  2 bathroom and nice view balcony in Vancouve,2200,2,908,Rupert Street
442,one bedroom one den apartment on Kingsway,1300,2,900,Main Street
443,D18 - 2 bedroom furnished condo in fantastic location 1130,4250,2,770,Howe Street
444,D19 - Gorgeous 1 Bed + Den (with bed) near the beach 1107,2850,1,690,Beach Avenue
445,D60 - Very spacious furnished 1 bedroom by the water,3200,1,890,Howe Street
446,D28 - Spectacular 2 bedroom Downtown Vancouver - 0917,3750,2,1000,NA
447,D36 - Stylish 2 bedroom in Downtown Vancouver,3850,2,980,NA
448,D17 - superb 2 bedroom house 0813,2750,2,850,NA
449,D15 - luxury penthouse in Downtown Vancouver - 0825,8500,2,1399,NA
450,"D173 - Bright 3 bed + den 3,5 bath perfect for a family in great hood!",3300,3,1450,Frances Street
451,D8 - Furnished 1 bedroom downtown 1009,2795,1,587,Seymour Street
452,D7 - Junior 1 Bedroom at Olympic Village 1001,2695,NA,471,"W 2nd Avenue, Olympic Village"
453,D22 - spectacular 2 bedroom in Downtown Vancouver 1116,5950,2,1200,Smithe Mews
454,D63 - bright 1 bedroom 1130,2400,1,550,Burrard Street
455,D2 - Heart of Downtown Upscale Fully Furnished 1 Bedroom - 1101,2595,1,650,NA
456,D29 - 2 bedroom in Vancouver Downtown 1006,3500,2,800,NA
457,D3 - modern 1 bedroom - 0325,2595,1,642,Richards Street
458,D68 - bright 2 bedroom 1001,3695,2,880,Richards Street
459,D48 - spacious 2 bedroom 0918,3450,2,1027,NA
460,D82 - Great 2 bed 2 bath close to everything! 1001,3450,2,864,NA
461,"D85 - 2 bedroom 2 bath, awesome location 0929",3950,2,864,NA
462,1 bdr available now WEST VANCOUVER -STEPS TO THE BEACH,1600,1,620,"Bellevue Avenue, West Vancouver"
463,Great 4 bdr Kitsilano House,3950,4,1780,W Broadway
464,"New, Modern one Bedroom in Kerrisdale for Rent # 813",1750,1,517,"W 41 Avenue, Kerrisdale"
465,"New, Modern Two Bedroom + Den Townhome for Rent in Kerrisdale",3500,2,1223,"W 41 Avenue, Kerrisdale"
466,4 bedroom Character Home - Partially Furnished,2800,4,2500,NA
467,Well Maintained Two Bedroom Garden Suite in Kits,2300,2,850,NA
468,UBC 1br+den high rise condo with beautiful forest view Available Dec 1,2230,NA,NA,UBC
469,UBC 1 year new 2br Highrise condo with forest view Available Now,3000,2,890,UBC
470,1 bdr available as of december 1st WEST VANCOUVER,1650,1,620,"Bellevue Avenue, West Vancouver"
471,2 bed room house for rent,1800,2,NA,Clark Road
472,Available Nov 1st 2 Bedroom Ground Floor Suite,2300,2,1100,Dunbar Street
473,One Bedroom - Condo Style for Rent - Vancouver,1599,1,NA,NA
474,Pet Friendly 2 Bed + 2 Bath with huge patio one block from VGH,2750,2,875,NA
475,New Concrete Sub Penthouse Near Joyce Skytrain,2395,2,800,Boundary  Kingsway
476,one large bdrm basement suite,1100,1,600,NA
477,Furnished Yaletown Studio Suite,1850,NA,NA,"Homer Street, Yaletown"
478,SPECIAL OFFER: First 1/2 Month Rent Free!  #10 - 1728 Yew St,2025,2,850,"W Broadway, Kitselano"
479,SPECIAL OFFER: First 1/2 Month Rent Free of Charge!  #5 - 1728 Yew St,2225,2,950,"W Broadway, Kitselano"
480,SPECIAL OFFER: First 1/2 Month Free of Charge!  #3 - 1728 Yew St,2385,2,950,"W Broadway, Kitselano"
481,Views! Indoor Swimming Pool! #2706 - 1328 W. Pender St,3200,2,980,"Cordova Street, Coal Harbour"
482,Cambie Corridor! Walk to VGH!  Large Patio!  102-633 W.16th Ave,1650,1,560,W 16th Avenue
483,Waterfront Executive Suite * Stunning Views *  902 - 1777 Bayshore Dr,7000,2,1957,"Cordova Street, Coal Harbour"
484,Furnished Pvt. 1 Bedroom Garden Suite Available Dec 15th to Jan 12th,750,1,1000,W 28th Avenue
485,One Bedroom suite for rent downtown,1480,1,500,Jervis  Haro
486,Laneway Home for Rent,2100,2,900,NA
487,Prime Commercial Dr Furnished 2 bedroom Penthouse in Heritage Building,2200,2,NA,East Vancouver
488,Renovated 2 Bedroom Steps to VGH,2850,2,1200,NA
489,"Fully Furnished, Luxury 3 Bedroom, 2 bathroom Suite in Yaletown",3800,3,1137,"Homer Street, Yaletown"
490,"Fully Furnished, Sophisticated 3 Bedroom, 2 Bathroom the City Centre",3900,3,710,NA
491,New listing: 2 bed 1 bath Micro Suite for Rent Cheaper than a hotel!,1299,2,424,East Vancouver
492,Bright and Beautiful 2 BDR in West End,2890,1,1084,Barclay Street
493,House for Rent,2500,NA,1500,NA
494,Bright and Beautiful 1 Bdr in West End,1750,1,510,Barclay Street
495,1 Rooms for Rent in a Basement Suite,875,1,NA,"W Broadway, Kitselano"
496,1 Room for Rent in a 4 Bedroom House (450sqft),1025,4,450,NA
497,NEWER 2 BEDROOM SUITE IN VANCOUVER EAST ( HASTINGS AREA),1525,2,600,Vancouver East
498,"Richmond 1 bedroom, 1 bathroom apartment close to Skytrain station.Sma",1600,1,653,NA
499,Cozy Character Home in Vancouver Heights,1950,2,1200,Dundas Street
500,Sandy House: Brand-New Laneway House 3 Bedroom Suite for Rent ($2200/M,2200,3,NA,NA
501,1 bedroom,1750,1,681,East Hastings
502,Fully furnished ground level suite 3 blocks from VGH available now,1800,1,450,Willow Street
503,"2 Bedroom + Den/Flex, 2 Bathroom Condo",2350,2,780,King Edward Street
504,Downtown Vancouver,2195,1,505,"Homer Street, Yaletown"
505,Downtown Vancouver,3580,2,833,"Cordova Street, Coal Harbour"
506,Spacious house,2350,3,1550,NA
507,Spacious Top Floor Heart of Kitsilano Dec 1 or earlier,1850,1,750,"W Broadway, Kitselano"
508,1 bedroom basement suite  close to UBC and Airport,1050,1,NA,UBC
509,"FURNISHED GORGEOUS YALETOWN 2BED, 2BATH & DEN w PARKING",3900,2,1000,"Homer Street, Yaletown"
510,FURNISHED LUXURY FAIRVIEW 4 BED PENTHOUSE,7000,4,2000,Fairview Slopes
511,FURNISHED LUXURY COAL HARBOUR 2 BED,5000,2,1100,"Cordova Street, Coal Harbour"
512,WATERFRONT BEACH AVE 4 BED SUB PENTHOUSE,8000,4,4000,Barclay Street
513,Condo Apt for Rent ASAP,2000,2,1500,Sechelt Street
514,2 bedroom - 1 bathroom - Ground level - Triplex,1700,2,650,Pender Street
515,WHISTLER WINTER RENTAL - Beautifully Renovated 4 Bed/3 Bath Duplex,7200,4,2000,Balsam Way
516,Fantastic Executive 2 Bed/2 Bath Renovated Condo with Incredible Views,5700,2,1211,"Homer Street, Yaletown"
517,Beautiful Yaletown Furnished 1 Bdrm + Solarium + Large Flex Space!,2750,1,740,"Homer Street, Yaletown"
518,Sweet Open Concept Suite at The Artiste,1750,NA,600,E 7th Avenue
519,Compact Live/Work Studio @ The Artiste off Main St,1525,NA,508,Scotia Street
520,"Rare, Unique Terrace Loft @ The Artiste",3000,NA,920,E 7th Avenue
521,Spacious One-Bedroom Loft - Mountain Views @ The Artiste,2460,1,820,E 7th Avenue
522,****  Apartment Fob Copying $35 - Delivered  ****,35,NA,NA,NA
523,****  Apartment Fob Copying $35 - Delivered  ****,35,1,NA,NA
524,3 Bedroom Furnished House for Rent in Commercial Drive Area #829b,3500,3,1726,Main Street
525,Immaculate 2 Bedroom Fully Furnished Garden Suite #430,2600,2,780,West Vancouver
526,Modern Contemporary 1 Bedroom + Den Furnished Condo #747,2400,1,580,"Homer Street, Yaletown"
527,Spacious Condo Furnished 1 Bedroom + Den and 2 Bathrooms #386,3500,1,1100,South Granville
528,Fully Furnished Gorgeous Laneway Home for Rent #826,4500,2,650,Main Street
529,Furnished Kitsilano Character 3 Bedroom Duplex Home near Beach #135,4995,3,1700,"W Broadway, Kitselano"
530,Elegant Furnished Three-Level Front Duplex Home for Rent #688,4500,3,1500,Mt Pleasant
531,2 Bedroom Furnished House for Rent in Commercial Drive Area #829,2800,2,1626,Main Street
532,Furnished Contemporary Condo for Rent in Yaletown #312,2200,1,630,"Homer Street, Yaletown"
533,Lovely Furnished Main Floor Suite for Rent in Kitsilano #772,2500,1,600,"W Broadway, Kitselano"
534,Converted Furnished Warehouse Loft Apartment - #371,4800,1,1400,NA
535,4 Bedroom Furnished Suite For Rent Beside Langara College #847,4200,4,1450,Oak Street
536,Bright Spacious Furnished Suite Gas Fireplace Swimming Pool #282,1800,1,700,Dunbar Street
537,Elegant Furnished Corner Loft Apartment in Gastown for Rent #771,2500,1,680,"Powell Street, Gastown"
538,Beautifully Renovated Furnished Studio Apartment with Ocean Views #533,2800,NA,480,Barclay Street
539,Beautifully Furnished Townhouse for Rent in Kitsilano #801,3950,2,1500,"W Broadway, Kitselano"
540,Lovely 3 Bedroom Furnished Heritage Home in Kerrisdale Area #849,3950,3,2200,Larch Street
541,2 Bedroom 2 Bathroom Downtown Vancouver Condo with Ocean Views #819,4495,2,850,NA
542,Elegant Furnished 1 Bedroom plus Den Apartment in Kitsilano #748,2400,1,640,"W Broadway, Kitselano"
543,Charming 1 Bedroom + Den Furnished Condo Downtown Vancouver #852,2400,1,535,NA
544,Coal Harbour 1BED & Den w/ ***VIEW***,2200,1,620,Jervis Street
545,Large suiet. Closer to 3 private nightclubs,1785,NA,1200,E 1st Avenue
546,Large 1bd suite in Vancouver's West End [ West of Denman ],1450,1,NA,Davie Street
547,near langara college and oakridge mall,3500,3,1200,Oak Street
548,Luxury 2bed 2bath+den in Coal Harbour,3600,2,1250,Bayshore Drive
549,AMAZING VIEW! Spacious 2 bed 2 bath + den,3600,2,1223,Drake Street
550,Vancouver Downtown 2BED 2 Bath @Telus Garden on 40th Floor for RENT,3600,2,835,Richards Street
551,Vancouver Downtown Renovated Furnished One bedroom + Flex for Rent,2300,1,580,Seymour Street
552,Full Ocean View Sub Penthouse Furnished Downtown 1 Bed+Den 1 Parking,2300,1,600,Seymour Street
